HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
3004,787,865,332,527,389,92,12,2022-11-16-19-31
3006,789,863,328,530,391,92,13,2022-11-16-19-39
3003,786,857,329,534,394,90,13,2022-11-16-19-49
2762,721,856,328,365,389,89,14,2022-11-16-19-56
2987,795,826,325,551,389,88,13,2022-11-16-20-05
2990,800,803,321,572,392,88,14,2022-11-16-20-15
3017,830,781,325,576,402,89,14,2022-11-16-20-24
3050,853,768,316,608,405,88,12,2022-11-16-20-32
2969,848,743,312,554,410,89,13,2022-11-16-20-42
2928,851,646,293,616,420,89,13,2022-11-16-20-53
2989,895,593,292,668,438,89,14,2022-11-16-21-06
3019,926,579,289,668,458,84,15,2022-11-16-21-16
3010,930,564,290,668,461,82,15,2022-11-16-21-26
3029,923,550,302,682,474,82,16,2022-11-16-21-35
3054,946,519,301,712,476,84,16,2022-11-16-21-46
2696,891,489,299,439,477,85,16,2022-11-16-21-54
2935,945,477,308,634,470,86,15,2022-11-16-22-03
2691,887,461,312,429,500,86,16,2022-11-16-22-11
2914,943,447,309,609,504,86,16,2022-11-16-22-21
2916,928,445,312,620,509,86,16,2022-11-16-22-29
3032,967,435,315,738,477,84,16,2022-11-16-22-39
3064,957,426,318,747,518,81,17,2022-11-16-22-51
3050,975,423,322,738,495,80,17,2022-11-16-23-02
3079,960,422,322,751,525,83,16,2022-11-16-23-12
3101,979,420,322,754,527,83,16,2022-11-16-23-23
3099,976,415,322,760,527,83,16,2022-11-16-23-40
2521,792,413,321,369,528,82,16,2022-11-16-23-48
3090,985,396,320,761,530,82,16,2022-11-16-23-59
2569,832,411,323,401,505,81,16,2022-11-17-00-07
3100,982,410,322,755,532,82,17,2022-11-17-00-46
3121,986,409,324,761,542,82,17,2022-11-17-01-24
3079,972,410,324,757,514,83,19,2022-11-17-02-03
3025,954,409,324,699,540,80,19,2022-11-17-02-40
3097,990,409,324,729,543,83,19,2022-11-17-03-17
3047,992,409,324,679,543,83,17,2022-11-17-03-55
3050,983,408,324,725,513,82,15,2022-11-17-04-33
2467,810,407,325,371,458,81,15,2022-11-17-05-09
3021,991,406,326,740,461,81,16,2022-11-17-05-47
2860,976,412,327,539,505,84,17,2022-11-17-06-24
2841,940,411,327,527,534,84,18,2022-11-17-06-34
3117,990,413,326,754,534,82,18,2022-11-17-06-44
2511,760,414,325,385,528,81,18,2022-11-17-06-51
3047,976,420,325,735,496,78,17,2022-11-17-07-02
2853,843,628,298,596,398,75,15,2022-11-17-07-29
2804,718,935,311,508,250,69,13,2022-11-17-07-43
2865,682,1131,338,453,180,66,15,2022-11-17-07-58
2788,535,1358,339,383,104,58,11,2022-11-17-08-09
2788,408,1503,366,352,100,50,9,2022-11-17-08-21
2686,367,1442,382,363,76,47,9,2022-11-17-08-35
2912,335,1726,359,339,92,51,10,2022-11-17-08-49
2930,286,1798,400,288,101,47,10,2022-11-17-09-10
2916,316,1844,386,261,56,45,8,2022-11-17-09-25
2699,304,1724,340,241,33,43,14,2022-11-17-09-37
2836,270,1923,294,251,41,42,15,2022-11-17-09-49
2750,279,1818,312,240,46,43,12,2022-11-17-10-02
2670,304,1704,328,246,53,24,11,2022-11-17-10-16
2761,392,1592,364,284,85,28,16,2022-11-17-10-28
2842,403,1577,371,305,138,29,19,2022-11-17-10-38
2937,437,1590,372,333,158,28,19,2022-11-17-10-48
2949,445,1531,370,346,207,31,19,2022-11-17-11-02
2823,453,1353,346,342,271,39,19,2022-11-17-11-10
3038,493,1399,301,391,389,46,19,2022-11-17-11-33
2899,666,998,263,444,463,45,20,2022-11-17-11-46
2881,806,876,298,416,421,43,21,2022-11-17-11-58
3017,851,772,315,500,508,49,22,2022-11-17-12-11
3017,868,722,374,505,467,58,23,2022-11-17-12-28
2960,846,708,378,494,427,83,24,2022-11-17-12-38
2895,797,705,411,450,423,87,22,2022-11-17-12-51
2828,755,740,420,474,335,85,19,2022-11-17-13-03
2796,630,954,481,411,214,86,20,2022-11-17-13-16
2681,477,1190,541,340,42,75,16,2022-11-17-13-29
2798,435,1355,563,330,40,59,16,2022-11-17-13-40
2876,419,1447,559,340,37,65,9,2022-11-17-13-51
2866,427,1454,533,335,39,69,9,2022-11-17-14-02
2861,404,1475,528,336,64,46,8,2022-11-17-14-13
2833,380,1500,527,340,35,43,8,2022-11-17-14-24
2893,350,1544,559,352,30,49,9,2022-11-17-14-36
2859,364,1519,538,330,49,52,7,2022-11-17-14-48
2848,353,1513,544,330,53,48,7,2022-11-17-15-02
2775,312,1515,460,312,120,49,7,2022-11-17-15-15
2666,314,1448,427,293,125,52,7,2022-11-17-15-25
2764,341,1475,424,283,182,53,6,2022-11-17-15-35
2724,347,1413,398,302,206,52,6,2022-11-17-15-46
2899,384,1421,405,330,291,61,7,2022-11-17-16-07
2864,450,1361,356,325,298,65,9,2022-11-17-16-21
2783,472,1239,324,363,307,70,8,2022-11-17-16-34
