HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
2757,928,390,383,475,427,138,2022-11-17-21-27
2760,929,356,377,479,461,141,2022-11-17-21-37
2308,802,306,367,276,402,136,2022-11-17-21-45
2657,977,287,324,458,457,134,2022-11-17-21-54
2735,954,283,317,536,491,133,2022-11-17-22-05
2382,955,265,316,237,450,138,2022-11-17-22-14
2688,961,240,318,511,498,139,2022-11-17-22-24
2441,915,227,324,302,512,141,2022-11-17-22-32
2761,985,226,314,553,520,139,2022-11-17-22-44
2645,962,198,314,547,455,144,2022-11-17-22-57
2396,896,197,318,302,512,147,2022-11-17-23-06
2786,1004,194,318,519,579,147,2022-11-17-23-19
2649,977,187,316,425,570,148,2022-11-17-23-28
2783,1006,187,320,541,552,148,2022-11-17-23-40
2566,985,184,320,344,554,150,2022-11-17-23-49
2650,1005,182,321,423,543,148,2022-11-18-00-00
2800,1020,176,320,517,592,147,2022-11-18-00-38
2700,1009,173,322,551,472,144,2022-11-18-01-16
2534,945,176,322,340,584,143,2022-11-18-01-52
2664,988,182,321,428,566,148,2022-11-18-02-34
2804,1005,182,321,526,591,146,2022-11-18-03-16
2512,992,179,324,397,446,144,2022-11-18-03-53
2847,1014,177,324,566,596,144,2022-11-18-04-32
2691,1024,174,324,550,447,147,2022-11-18-05-10
2835,1024,172,322,548,593,148,2022-11-18-05-49
2558,974,173,322,325,584,147,2022-11-18-06-26
2554,985,174,314,458,442,148,2022-11-18-06-35
2785,1004,177,317,567,542,147,2022-11-18-06-46
2812,1010,181,320,567,559,143,2022-11-18-06-58
2577,1023,184,329,323,549,137,2022-11-18-07-08
2768,1018,187,338,534,522,137,2022-11-18-07-21
2658,997,206,375,493,430,125,2022-11-18-07-32
2404,936,253,406,289,369,118,2022-11-18-07-42
2567,855,458,433,462,227,100,2022-11-18-08-01
2465,706,699,516,333,97,81,2022-11-18-08-12
2528,628,850,508,353,84,71,2022-11-18-08-25
2475,615,877,473,352,55,70,2022-11-18-08-35
2605,545,1080,484,334,64,67,2022-11-18-08-47
2668,480,1169,529,321,79,57,2022-11-18-09-01
2589,483,1094,528,319,77,58,2022-11-18-09-12
2683,453,1230,541,293,85,52,2022-11-18-09-23
2750,453,1282,545,300,103,46,2022-11-18-09-37
2661,431,1268,526,275,96,48,2022-11-18-09-50
2622,406,1289,533,253,81,51,2022-11-18-10-01
2545,403,1220,539,253,68,54,2022-11-18-10-11
2684,449,1316,541,249,63,57,2022-11-18-10-23
2721,476,1302,555,251,72,56,2022-11-18-10-34
2751,482,1295,568,251,87,60,2022-11-18-10-46
2791,494,1252,566,277,128,65,2022-11-18-10-58
